"This information, combined with our previously reported changes in gene expression related to endometrial function, confirm that LPS activates pro-inflammatory mechanisms leading to perturbed immune balance and cell adhesion processes in the endometrium.",32493210,2020,BMC Genomics,"Department of Clinical Sciences, Division of Reproduction, Swedish University of Agricultural Sciences","[(LPS, activates, pro-inflammatory mechanisms)]"
"Mechanical stretch activates ERK through epidermal growth factor receptor (EGFR) activation, and ERK activation triggers cell contraction.",32497487,2020,Dev Cell,"Department of Pathology and Biology of Diseases, Graduate School of Medicine, Kyoto University","[(Mechanical stretch, activates, ERK)]"
"These results demonstrated that LPS activates neuroglial cells and increases NF-κB-mediated inflammatory factors in the cerebral cortex.",32257907,2019,Lab Anim Res,"Department of Anatomy, College of Veterinary Medicine, Research Institute of Life Science","[(LPS, activates, neuroglial cells)]"
"As larvae mature and motoneuron terminals grow, Gbb activates the R-Smad transcriptional regulator phosphorylated Mad (pMad) to facilitate presynaptic development.",31950660,2019,Dev Neurobiol,"Molecular, Cellular, and Developmental Biology Department, Yale University","[(Gbb, activates, the R-Smad transcriptional regulator phosphorylated Mad)]"
"It was previously found that Korean Red Ginseng water extract (KRGE) inhibits the histamine-induced itch signaling pathway in peripheral sensory neurons.",30337807,2018,J Ginseng Res,"Gachon Institute of Pharmaceutical Sciences","[(Korean Red Ginseng water extract, inhibits, the histamine-induced itch signaling pathway)]"
"We show here that Mcm10 inhibits fork regression by the well-known fork reversal enzyme SMARCAL1.",30598452,2019,Proc Natl Acad Sci U S A,"Howard Hughes Medical Institute, The Rockefeller University","[(Mcm10, inhibits, fork regression)]"
"Baicalin inhibited the increase of COLIV and FN expression induced by HG through upregulating miR-124 in HK-2 cells.",32500512,2020,J Physiol Biochem,"The First Affiliated Hospital of Henan University of Chinese Medicine","[(Baicalin, inhibited, the increase)]"
"EE and ME inhibited α-glucosidase enzyme and their IC50 values were 0.301±0.002 mg/mL and 0.477±0.003 mg/mL, respectively.",32454711,2019,Turk J Pharm Sci,"Karadeniz Technical University","[(EE and ME, inhibited, α-glucosidase enzyme)]"
"P. acnes infection inhibits lubricin expression by cartilage endplate cells and this may facilitate the progression of MCs and endplate degeneration.",32440508,2019,J Orthop Translat,"Department of Orthopaedics, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University","[(P. acnes infection, inhibits, lubricin expression)]"
"Thus, GO inhibits the proliferation of nasopharyngeal carcinoma cells via the induction of cytotoxic autophagy.",31949666,2018,Int J Clin Exp Pathol,"Department of Emergency, The First Affiliated Hospital of Guangxi Medical University Nanning","[(GO, inhibits, the proliferation)]"
"Structural and biochemical analysis revealed that MTA or SAH inhibited the enzyme activities, whereas SAM activated the enzyme.",32444595,2019,Signal Transduct Target Ther,"Division of Respiratory and Critical Care Medicine, Center of Infectious Diseases, National Clinical Research Center for Geriatrics and State Key Laboratory of Biotherapy, West China Hospital of Sichuan University and Collaborative Innovation Center of Biotherapy","[(MTA or SAH, inhibited, the enzyme activities), (SAM, activated, the enzyme)]"
"Moreover, naringin inhibited osteoclastogenesis and wear particles-induced osteolysis.",32500755,2020,Connect Tissue Res,"Department of Orthopedics, Shanghai Sixth People's Hospital East Affiliated to Shanghai University of Medicine & Health Sciences","[(naringin, inhibited, osteoclastogenesis and wear particles-induced osteolysis)]"
"Reduction of endogenous M-Sec levels via shRNA in MTLn3 mammary adenocarcinoma cells inhibited the formation of TNTs.",32467880,2019,Cancer Rep (Hoboken),"Department of Molecular and Developmental Biology, Albert Einstein College of Medicine","[(Reduction, inhibited, the formation)]"
"We demonstrated piperine inhibited the migration and invasion of colorectal cancer cells.",32500474,2020,Biotechnol Lett,"Guizhou Provincial Key Laboratory of Pathogenesis & Drug Research on Common Chronic Diseases, Guizhou Medical University", "[(piperine, inhibited, the migration and invasion)]"
"Curcumin inhibits BPA-induced insulin resistance by suppressing JNK pathway.",29793316,2018,Biomed Pharmacother,"Department of Nutrition and Food Safety, School of Public Health, Nanjing Medical University","[(Curcumin, inhibits, BPA-induced insulin resistance)]"
"In contrast, magnone A, 3',4-O-dimethylcedrusin, and 6-methoxymarcanine A inhibited the growth of some of the tested cells (IC(50) values of 2.03-19.73 µM).",32478640,2020,Pharm Biol,"Department of National Parks, Wildlife and Plant Conservation, Ministry of Natural Resources and Environment, The Forest Herbarium","[(magnone A\, 3\'\,4-O-dimethylcedrusin\, and 6-methoxymarcanine A, inhibited, the growth)]"
"Via the induction of cell cycle arrest and/or apoptosis, vitamin D inhibits normal prostatic epithelial cells growth.",31038028,2018,Int J Vitam Nutr Res,"1 Department of Life Sciences, European University Cyprus","[(vitamin D, inhibits, normal prostatic epithelial cells growth)]"
"Knockdown of circTP53 inhibited the expression of Mouse double minute 2 (MDM2) and increased the protein level of p53.",32500444,2020,J Endocrinol Invest,"The Second Hospital of Hebei Medical University","[(Knockdown, inhibited, the expression)]"
"AHR gene knockout (CRISPR-Cas9) inhibits CYP1B1 and Wnt5a expression in the IBC cell line.",30899591,2018,J Adv Res,"Department of Zoology, Faculty of Science, Cairo University","[(AHR gene knockout, inhibits, CYP1B1 and Wnt5a expression)]"
"The complex effect inhibits growth of microbial populations of oral bacteria and fungi species Candida.",30802400,2017,Klin Lab Diagn,"The A.E. Evdokimov Moscow state medical stomatological university","[(The complex effect, inhibits, growth)]"
"Vinculin binds unfolded talin domains in focal adhesions, which recruits actin filaments to reinforce the mechanical coupling of this organelle.",32498018,2020,iScience,"Department of Cell Stress Biology, Roswell Park Comprehensive Cancer Center","[(Vinculin, binds, unfolded talin domains)]"
"In this report, we determined that the p85α BH domain binds several phosphorylated phosphoinositide lipids, an interaction that could help localize p85α to membranes rich in these lipids.",30651929,2018,Oncotarget,"Cancer Research, Saskatchewan Cancer Agency","[(the p85α BH domain, binds, several phosphorylated phosphoinositide lipids)]"
"In aquatic environments, black carbon binds contaminants like aromatic hydrocarbons, leading to changes in their uptake, bioavailability, and toxicity.",31565225,2018,Environ Sci Nano,"Department of Pathology & Laboratory Medicine, Brown University","[(black carbon, binds, contaminants)]"
"The unfolded protein binds the surfactant micelles in the protein-surfactant cluster.",31458962,2018,ACS Omega,"Solid State Physics Division, Bhabha Atomic Research Centre","[(The unfolded protein, binds, the surfactant micelles)]"
"Our results show that the iron proximal to the cofactor binds the first NO to form the diiron mononitrosyl complex, implying the iron distal to the FMN binds the second NO to form the diiron dinitrosyl intermediate.",31263628,2018,ACS Catal,"Department of Chemistry, Carnegie Mellon University","[(the iron, binds, the first NO), (the iron, binds, the second NO)]"
"CYP505A30 binds straight chain fatty acids (from ∼C10 to C20), with highest affinity for tridecanoic acid (KD = 2.7 μM).",30023729,2017,ACS Omega,"Centre for Synthetic Biology of Fine and Speciality Chemicals, School of Chemistry, Manchester Institute of Biotechnology, The University of Manchester","[(CYP505A30, binds, straight chain fatty acids)]"
"FACT binds several components of nucleosomes and has been viewed as a factor destabilizing nucleosomes to facilitate RNA polymerase passage.",32498018,2020,iScience,"Department of Cell Stress Biology, Roswell Park Comprehensive Cancer Center","[(FACT, binds, several components)]"
"CcpA binds 2 molar equivalents of Ag+via its two cysteine residues (Cys216 and Cys242).",29568454,2017,Chem Sci,"Department of Chemistry , The University of Hong Kong","[(CcpA, binds, 2 molar equivalents)]"
"In the event, this new probe design (1a in the text) binds TrkC+ breast cancer in live cell cultures, in histochemical studies and in an in vivo murine model.",30108715,2017,Medchemcomm,"Department of Chemistry , Texas A & M University","[(this new probe design, binds, TrkC+ breast cancer )]"
"Among these protomeric forms, lysozyme binds nfx± most robustly, whereas nfx- has a weak association and nfx+ does not show any interaction.",30023748,2017,ACS Omega,"Department of Chemistry, Indian Institute of Technology Kharagpur","[(lysozyme, binds, nfx±)]"
"Together with surface plasmon resonance (SPR), electrophoresis mobility shift assay (EMSA) demonstrates that ValFadR binds fabA, an important gene of unsaturated fatty acid (UFA) synthesis.",29312893,2017,Front Cell Infect Microbiol,"Department of Medical Microbiology and Parasitology, Zhejiang University School of Medicine","[ValFadR, binds, fabA]"
"Thus, LFcin binds polySia without loss of its protective activity as an antimicrobial peptide.",31861263,2019,Animals (Basel),"Institute of Biochemistry, Faculty of Medicine, Justus-Liebig-University","[(LFcin, binds, polySia)]"
"Here, we interrogate the PAK6 interactome and find that PAK6 binds a subset of 14-3-3 proteins in a kinase dependent manner.",29311810,2017,Front Mol Neurosci,"Department of Biology, University of Padova","[(PAK6, binds, a subset of 14-3-3 proteins)]"
"As investigated by (1)H NMR titrations, the receptor binds an anion in a 1:1 binding mode, showing the highest binding and strong selectivity for sulfate anion.",30023599,2017,ACS Omega,"Department of Chemistry and Biochemistry, Jackson State University",""
"We show that AcrIIA2 binds SpyCas9 at a position similar to the target DNA binding region.",30606466,2019,Mol Cell,"Key Laboratory of RNA Biology, CAS Center for Excellence in Biomacromolecules, Institute of Biophysics, Chinese Academy of Sciences","[(AcrIIA2, binds, SpyCas9)]"
"Although it is known that AtRALF1 binds the plasma membrane receptor FERONIA and conveys its signals via phosphorylation, the AtRALF1 signaling pathway is largely unknown.",29282286,2018,J Biol Chem,"Laboratório de Bioquímica de Proteínas, Departamento de Ciências Biológicas, Escola Superior de Agricultura Luiz de Queiroz, Universidade de São Paulo","[(AtRALF1, binds, the plasma membrane receptor FERONIA)]"
"Nicotine stimulates fibroblast proliferation while increasing inflammation and fibrosis of tissues.",30675824,2018,Exp Lung Res,"Chair and Department of Pharmacology and Pharmacodynamics , Medical University in Lublin","[(Nicotine, stimulates, fibroblast proliferation)]"
"We find that Sir2/4 stimulates Ubp10 DUB activity on nucleosomes, likely through a combination of targeting and allosteric regulation.",29288197,2018,J Biol Chem,"Molecular Biology Program, University of Colorado", "[(Sir2/4, stimulates, Ubp10 DUB activity)]"
"Patterns of enhanced expression were observed at both mRNA and protein level, indicating that repeated restraint stress stimulates enzyme expression at the transcriptional level.",30864418,2018,J Basic Clin Physiol Pharmacol,"Department of Physiological Sciences, Center for Veterinary Health Sciences, Oklahoma State University","[(repeated restraint stress, stimulates, enzyme expression)]"
"Studies in cultured cells have reported that zinc stimulates the endocytosis of plasma membrane-localized ZIP4 protein, resulting in reduced cellular zinc uptake.",30593504,2019,J Biol Chem,"Christopher S. Bond Life Science Center, University of Missouri","[(zinc, stimulates, the endocytosis)]"
"Subsequently, NE stimulates β-ARs in the detrusor muscle in mice, leading to neurogenic relaxation of the urinary bladder (UB).",32110516,2019,Ci Ji Yi Xue Za Zhi,"School of Medicine, Tzu Chi University","[(NE, stimulates, β-ARs)]"
"Yet therapeutic application of estrogen stimulates their appearance?",32497614,2020,Am J Obstet Gynecol,"Division of Endocrinology, Diabetes and Bone Diseases, Department of Medicine, Icahn School of Medicine at Mount Sinai","[(therapeutic application, stimulates, their appearance)]"
"Since copper-dependent lysyl oxidases crosslink elastin as well as collagen fibers, copper supplementation stimulates accumulation of both proteins in the extracellular matrix.",32063701,2019,Int J Chron Obstruct Pulmon Dis,"Department of Pharmaceutical Technology and Biopharmacy, Groningen Research Institute of Pharmacy, Groningen, University of Groningen","[(copper supplementation, stimulates, accumulation)]"
"Together, these data demonstrate that ACA11 stimulates ribosome biogenesis and influences responses to chemotherapy.",32095781,2019,FASEB Bioadv,"Stead Family Department of Pediatrics, Holden Comprehensive Cancer Center, University of Iowa","[(ACA11, stimulates, ribosome biogenesis)]"
"RT-BFR stimulates muscle hypertrophy and improves muscle strength even at low external loads.",30687436,2018,J Hum Kinet,"Department of Sports Training, The Jerzy Kukuczka Academy of Physical Education in Katowice","[(RT-BFR, stimulates, muscle hypertrophy)]"
"Activation of PAR1 by thrombin stimulates vasogenic edema, tumor adhesion and tumor growth.",30619047,2018,Front Neurol,"Department of Neurosurgery, Rabin Medical Center, Sackler Faculty of Medicine, Tel Aviv University","[(Activation, stimulates, vasogenic edema\, tumor adhesion and tumor growth.)]"
"We propose that IGF1 release from pericryptal cells stimulates mTORC1 in FSCs to regenerate lost CBCs.",32502530,2020,Cell Mol Gastroenterol Hepatol,"Department of Molecular & Integrative Physiology University of Michigan","[(IGF1 release, stimulates, mTORC1)]"
"Lipopolysaccharide stimulates the intestinal microbiome to activate phosphoinositide 3 kinase (PI3K) signaling via several pathways; however, the direct effect that PI3K has on the intestinal bacterial community remains unclear.",31896510,2020,Int Immunopharmacol,"Department of Gastroenterology, The Second Medical Center, General Hospital of the Chinese People's Liberation Army","[(Lipopolysaccharide, stimulates, the intestinal microbiome)]"
"The results indicate that nitrogen treatments stimulated cyanobacteria (mostly Microcystis aeruginosa) more than phosphorus.",32496782,2020,Environ Sci Technol,"National Institute of Environmental Research,","[(nitrogen treatments, stimulated, cyanobacteria)]"
"However, the presence of SDS stimulates both attractive and repulsive forces whose relative dominance controls the viscoelastic properties and gelation.",31845815,2020,Langmuir,"Department of Chemical and Biological Engineering , The University of British Columbia","[(the presence, stimulates, both attractive and repulsive forces)]"
"Moreover, TRH stimulates DA release.",32500445,2020,J Endocrinol Invest,"Department of Radiology, Washington University School of Medicine","[(TRH, stimulates, DA release)]"
"This autoimmune thyroid condition stimulates the production of hyaluronic acid (HA) and glycosaminoglycans (GAG) that are deposited particularly in the pretibial region.",32461007,2019,An Bras Dermatol,"Graduate and Post-Graduate Program in Dermatology, Faculdade Suprema","[(This autoimmune thyroid condition, stimulates, the production)]"
"Moreover, siRNA-mediated knockdown of StAR abolishes melatonin-induced P4 production.",31619582,2019,Aging (Albany NY),"Center for Reproductive Medicine, Henan Key Laboratory of Reproduction and Genetics, The First Affiliated Hospital of Zhengzhou University","[(siRNA-mediated knockdown, abolishes, melatonin-induced P4 production)]"
"Mutation of the Gr abolishes this anti-inflammatory effect of Rg1.",32365641,2020,Cells,"Leiden University-European Center for Chinese Medicine, Leiden University","[(Mutation, abolishes, this anti-inflammatory effect)]"
"Strikingly, excessive P21WAF1/CIP1 abolishes the cancerous function of miR-155.",32490171,2020,Mol Ther Oncolytics,"Shanghai Putuo District People's Hospital, School of Life Science and Technology, Tongji University","[(excessive P21WAF1/CIP1, abolishes, the cancerous function)]"
"Meanwhile, glycyrrhetinic acid abolishes the function of RAS by interfering with the effector protein RAF kinase activation and RAS/MAPK signalling.",30976491,2019,Acta Pharm Sin B,"State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy and Tianjin Key Laboratory of Molecular Drug Research, Nankai University","[(lycyrrhetinic acid, abolishes, the function)]"
"We also demonstrate that blockade of Syntaxin 1 abolishes neurotrophin-dependent growth of axons in neuronal cultures and decreases exocytotic events at the tip of axonal growth cones.",30542508,2018,Oncotarget,"Institució Catalana de Recerca i Estudis Avançats","[(blockade, abolishes, neurotrophin-dependent growth)]"
"These findings suggest that zinc pre-treatment abolishes the ability of LPS-induced M1 microglia to increase the engulfing activity in astrocytes via alteration of astrocytic P2×7R.",32353820,2020,J Trace Elem Med Biol,"Department of Pharmacology, Kochi Medical School, Kochi University","[(zinc pre-treatment, abolishes, the ability)]"
"Indeed, we found that p.A204T alters the pH-sensitivity, p.A254V abolishes the calcium-sensitivity.",31803959,2020,Hum Mutat,"Institut NeuroMyoGène, Univ Lyon","[(p.A254V, abolishes, the calcium-sensitivity)]"
"A single-site mutation to valine 326 abolishes cellular aggregation and amyloid formation.",31594814,2019,mBio,"Department of Sciences, John Jay College of the City University of New York","[(A single-site mutation, abolishes, cellular aggregation and amyloid formation)]"
"As reported for the pontine generator, the genetic inactivation of the vmM inhibitory neurons abolishes atonia during PS without effects on waking locomotion and is sufficient to recapitulate major RBD symptoms.",30450004,2018,J Exp Neurosci,"SLEEP Team, CNRS UMR 5292, INSERM U1028, Centre de Recherche en Neurosciences de Lyon (CRNL), Université Claude Bernard Lyon 1","[(the genetic inactivation, abolishes, atonia)]"
"Genetic ablation of α(2)δ-1 abolishes Ca(V)2.2 cell-surface expression in dorsal root ganglion neurons and dramatically reduces dorsal horn expression.",30487217,2018,Proc Natl Acad Sci U S A,"Department of Neuroscience, Physiology and Pharmacology, University College London","[(Genetic ablation, abolishes, Ca(V)2.2 cell-surface expression)]"
"The suppression of these oscillations abolishes sustained afferent discharge in sensory nerves without blocking the axon conduction.",30588085,2018,Local Reg Anesth,"Graf Biostatistics","[(The suppression, abolishes, sustained afferent discharge)]"
"Gradual closure of the ERO abolishes this spike and merits clinical investigation.",31746755,2019,EuroIntervention,"CARIM School for Cardiovascular Diseases, Maastricht University Medical Center","[(Gradual closure, abolishes, this spike)]"
"The design of DIMPs abolishes major sources of artifacts that cannot be avoided by other microinjection techniques.",31765880,2020,J Plant Physiol,"School of Biological Sciences, Washington State University","[(The design ,abolishes, major sources)]"
"Interestingly, the exportin1/CRM1 inhibitor leptomycin-B abolishes the action of TPR peptide overexpression, although the drug cannot inhibit the GR nuclear export itself.",32467326,2020,J Cell Sci,"Instituto de Biología y Medicina Experimental-CONICET","[(the exportin1/CRM1 inhibitor leptomycin-B, abolishes, the action)]"
"Regardless of OCCC metabolic profiles, cysteine deprivation abolishes both glycolytic and respiring OCCC growth in vitro and in vivo.",32336105,2020,Antioxid Redox Signal,"National University Cancer Institute, National University Health System","[(cysteine deprivation, abolishes, both glycolytic and respiring OCCC growth)]"
"Moreover, a daf-16 loss-of-function mutation abolishes HT115-driven neuroprotection.",32208418,2020,PLoS Biol,"Centro de Genómica y Bioinformática, Facultad de Ciencias, Universidad Mayor","[(a daf-16 loss-of-function mutation, abolishes, HT115-driven neuroprotection)]"
"We previously demonstrated that the Salmonella anti-inflammatory response activator SarA (Stm2585, GogC, PagJ, SteE) activates the host transcription factor STAT3 to drive expression of immunomodulatory STAT3-targets.",31901521,2020,Cell Host Microbe,"Department of Molecular Genetics and Microbiology, School of Medicine, Duke University","[(the Salmonella anti-inflammatory response activator SarA, activates, the host transcription factor STAT3)]"
"While phosphorylation activates various proteins, ubiquitin (Ub) adducts typically act as docking sites for DNA repair factors.",31225475,2018,Cell Stress,"Division of Oncology, Mayo Clinic","[(phosphorylation, activates, various proteins)]"
"We find that quercetin activates Sirt6 via the isoform-specific binding site for pyrrolo[1,2-a]quinoxalines.",31844103,2019,Sci Rep,"Department of Biochemistry, University of Bayreuth","[(quercetin, activates, Sirt6)]"
"Thus, a high atmospheric oxygen concentration (30%) activates antioxidant defence and general stress response mechanisms involved in conidia resistance to adverse environmental factors, which can ultimately translate into higher effectivity for the use of entomopathogenic fungi conidia in pest control.",29801793,2018,Fungal Biol,"Universidad Autónoma Metropolitana-Iztapalapa, Departamento de Biotecnología","[(a high atmospheric oxygen concentration, activates, antioxidant defence and general stress response mechanisms)]"
"Morphology analysis indicates that ex situ SU-8 functionalization inhibits the particle growth into polygonal nanocrystals.",31459206,2018,ACS Omega,"RIKEN Center for Advanced Photonics","[(ex situ SU-8 functionalization, inhibits, the particle growth)]"
"In this respect, melittin inhibits a broad spectrum of fungal genera including Aspergillus, Botrytis, Candida, Colletotrichum, Fusarium, Malassezia, Neurospora, Penicillium, Saccharomyces, Trichoderma, Trichophyton, and Trichosporon.",32500268,2020,Appl Microbiol Biotechnol,"Skin Research Center, Shahid Beheshti University of Medical Sciences","[(melittin, inhibits, a broad spectrum of fungal genera)]"
"Additionally, compound 1611-0203 inhibits Staphylococcus aureus and Enterococcus spp.",31119922,2018,Avian Dis,"United States Department of Agriculture, Animal Biosciences and Biotechnology Laboratory","[(compound 1611-0203, inhibits, Staphylococcus aureus and Enterococcus spp)]"
"3-DSC inhibited the kinase activity of TOPK, but not mitogen-activated protein kinase (MEK).",31035049,2019,Phytomedicine,"Department of Pathophysiology, School of Basic Medical Sciences, Zhengzhou University","[(3-DSC, inhibited, the kinase activity)]"
"The receptor targeted by SARS-CoV-2 is a supercomplex formed by a dimer of ACE2-B0AT1, in which ACE2 binds the viral protein and B0AT1 stabilizes the heterodimer.",32500793,2020,SLAS Discov,"Department DiBEST Unit of Biochemistry and Molecular Biotechnology, University of Calabria","[(ACE2, binds, the viral protein)]"
"We found that the K-Ras anchor binds selected plasma membrane anionic lipids with defined head groups and lipid side chains.",28041850,2017,Cell,"Department of Integrative Biology and Pharmacology, McGovern Medical School, University of Texas Health Science Center at Houston","[(K-Ras anchor, binds, selected plasma membrane anionic lipids)]"
"Hh ligand binds its receptor Patched (Ptc), allowing the activation of the obligate signal transducer Smoothened (Smo).",31429406,2019,Semin Cell Dev Biol,"Department of Biology, Eberly College of Science, Huck Institute of Life Sciences, The Pennsylvania State University","[(Hh ligand, binds, its receptor Patched)]"
"The receptor binds coronene selectively over smaller polycyclic aromatic hydrocarbons, but is flexible enough to adapt to a smaller guest that presents a complementary electron deficient surface.",32110323,2019,Chem Sci,"Institut de Química Computacional i Catàlisi (IQCC) , Departament de Química , Universitat de Girona","[(The receptor, binds, coronene)]"
"Within the peritoneal cavity, the presence of ascites stimulates ovarian tumors with shear stresses.",31069311,2018,APL Bioeng,"Department of Biomedical Engineering, University of Michigan","[(the presence, stimulates, ovarian tumors)]"
"The recombinant human erythropoietin (rHuEPO) stimulates the erythropoiesis process.",30739984,2018,J Pharm Pharmacogn Res,"Center for Research and Biological Evaluation, Institute of Pharmacy & Foods, University of Havana","[(The recombinant human erythropoietin, stimulates, the erythropoiesis process.)]"
"Further, NPY stimulates brain dopamine concentrations and acts as an anti-stress agent in heat-exposed fasted, but not fed chicks.",32055190,2019,J Poult Sci,"Lab of Stress Physiology and Metabolism, Graduate School of Bioresource and Bioenvironmental Science, Division for Experimental Natural Science, Faculty of Arts and Science, Kyushu University","[(NPY, stimulates, brain dopamine concentrations)]"
"In response to DNA damage, p53 stimulates protective cellular processes including cell-cycle arrest and apoptosis to prevent aberrant cell proliferation.",29594232,2017,Clin Transl Radiat Oncol,"Department of Radiation Oncology, Saarland University","[(p53, stimulates, protective cellular processes)]"
"A single nucleotide change at the XG locus (rs311103) abolishes GATA1 binding and suppresses both XG and CD99.",32324038,2020,Immunohematology,"Nordic Reference Laboratory for Genomic Blood Group Typing and Senior Consultant at the Department of Clinical Immunology and Transfusion Medicine, Office of Medical Services","[(A single nucleotide change, abolishes, GATA1 binding)]"
"Further, in vivo analyses in a mouse liver cancer model using hydrodynamic tail vein injection of constitutively active AKT and RAS oncogenes showed that RBMY abolishes the HCC development.",32473614,2020,Cancer Sci,"Liver Center, University California","[(RBMY, abolishes, the HCC development)]"
"This exchange abolishes target DNA-binding, whereas subcellular localization and homomerization are not affected.",31847079,2019,Plants (Basel),"Center for Plant Molecular Biology, Eberhard Karls University Tübingen","[(This exchange, abolishes, target DNA-binding)]"
"We further show that disruption of the RRM and ZnF domains abolishes FUS function in splicing.",30581145,2019,Mol Cell,"Department of Biology, Institute of Molecular Biology and Biophysics, ETH Zürich","[(disruption, abolishes, FUS function)]"
